Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 2, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 2,097,152
  lm_head                 : 2,097,152
  transformer_matrices    : 1,310,784
  scalars                 : 4
  total                   : 7,602,244
Estimated FLOPs per token: 3.303053e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010973 | lrm: 1.00 | dt: 2154ms | tok/sec: 15,214 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.930954 | lrm: 1.00 | dt: 899ms | tok/sec: 36,450 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.682712 | lrm: 1.00 | dt: 813ms | tok/sec: 40,284 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.356075 | lrm: 1.00 | dt: 926ms | tok/sec: 35,391 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.053289 | lrm: 1.00 | dt: 807ms | tok/sec: 40,615 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.788616 | lrm: 1.00 | dt: 808ms | tok/sec: 40,575 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.568250 | lrm: 1.00 | dt: 911ms | tok/sec: 35,951 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.383761 | lrm: 1.00 | dt: 925ms | tok/sec: 35,413 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.217803 | lrm: 1.00 | dt: 912ms | tok/sec: 35,913 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.075221 | lrm: 1.00 | dt: 913ms | tok/sec: 35,883 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.949702 | lrm: 1.00 | dt: 929ms | tok/sec: 35,269 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.837407 | lrm: 1.00 | dt: 845ms | tok/sec: 38,787 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.743113 | lrm: 1.00 | dt: 808ms | tok/sec: 40,546 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 6.650439 | lrm: 1.00 | dt: 1023ms | tok/sec: 32,039 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00014 (0.9%) | loss: 6.564678 | lrm: 1.00 | dt: 933ms | tok/sec: 35,113 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00015 (1.2%) | loss: 6.497015 | lrm: 1.00 | dt: 803ms | tok/sec: 40,792 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00016 (1.5%) | loss: 6.426228 | lrm: 1.00 | dt: 802ms | tok/sec: 40,867 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00017 (1.7%) | loss: 6.366342 | lrm: 1.00 | dt: 810ms | tok/sec: 40,451 | mfu: 0.1% | epoch: 1 | remaining: 294s    
step 00040 (8.3%) | loss: 5.732762 | lrm: 1.00 | dt: 952ms | tok/sec: 34,426 | mfu: 0.1% | epoch: 1 | remaining: 274s    
step 00041 (8.6%) | loss: 5.716481 | lrm: 1.00 | dt: 807ms | tok/sec: 40,618 | mfu: 0.1% | epoch: 1 | remaining: 273s    
step 00042 (8.8%) | loss: 5.705451 | lrm: 1.00 | dt: 806ms | tok/sec: 40,653 | mfu: 0.1% | epoch: 1 | remaining: 273s    
step 00043 (9.1%) | loss: 5.685814 | lrm: 1.00 | dt: 803ms | tok/sec: 40,810 | mfu: 0.1% | epoch: 1 | remaining: 272s    
step 00044 (9.4%) | loss: 5.666946 | lrm: 1.00 | dt: 859ms | tok/sec: 38,167 | mfu: 0.1% | epoch: 1 | remaining: 271s    
step 00045 (9.7%) | loss: 5.653061 | lrm: 1.00 | dt: 844ms | tok/sec: 38,836 | mfu: 0.1% | epoch: 1 | remaining: 270s    
step 00046 (9.9%) | loss: 5.629658 | lrm: 1.00 | dt: 971ms | tok/sec: 33,746 | mfu: 0.1% | epoch: 1 | remaining: 269s    
step 00047 (10.3%) | loss: 5.616782 | lrm: 1.00 | dt: 907ms | tok/sec: 36,121 | mfu: 0.1% | epoch: 1 | remaining: 268s    
step 00048 (10.6%) | loss: 5.603981 | lrm: 1.00 | dt: 810ms | tok/sec: 40,435 | mfu: 0.1% | epoch: 1 | remaining: 267s    
step 00049 (10.8%) | loss: 5.597188 | lrm: 1.00 | dt: 815ms | tok/sec: 40,191 | mfu: 0.1% | epoch: 1 | remaining: 267s    
step 00050 (11.1%) | loss: 5.580426 | lrm: 1.00 | dt: 807ms | tok/sec: 40,621 | mfu: 0.1% | epoch: 1 | remaining: 266s    
step 00051 (11.4%) | loss: 5.576201 | lrm: 1.00 | dt: 876ms | tok/sec: 37,423 | mfu: 0.1% | epoch: 1 | remaining: 265s    
step 00052 (11.7%) | loss: 5.568378 | lrm: 1.00 | dt: 830ms | tok/sec: 39,456 | mfu: 0.1% | epoch: 1 | remaining: 264s    
step 00053 (12.0%) | loss: 5.555413 | lrm: 1.00 | dt: 907ms | tok/sec: 36,117 | mfu: 0.1% | epoch: 1 | remaining: 263s    
step 00054 (12.3%) | loss: 5.542097 | lrm: 1.00 | dt: 802ms | tok/sec: 40,848 | mfu: 0.1% | epoch: 1 | remaining: 262s    
step 00055 (12.5%) | loss: 5.532255 | lrm: 1.00 | dt: 803ms | tok/sec: 40,824 | mfu: 0.1% | epoch: 1 | remaining: 262s    
step 00056 (12.8%) | loss: 5.518845 | lrm: 1.00 | dt: 805ms | tok/sec: 40,709 | mfu: 0.1% | epoch: 1 | remaining: 261s    
step 00057 (13.1%) | loss: 5.502084 | lrm: 1.00 | dt: 805ms | tok/sec: 40,686 | mfu: 0.1% | epoch: 1 | remaining: 260s    
step 00058 (13.3%) | loss: 5.501987 | lrm: 1.00 | dt: 830ms | tok/sec: 39,478 | mfu: 0.1% | epoch: 1 | remaining: 259s    
step 00059 (13.6%) | loss: 5.479812 | lrm: 1.00 | dt: 917ms | tok/sec: 35,732 | mfu: 0.1% | epoch: 1 | remaining: 258s    
step 00060 (13.9%) | loss: 5.473126 | lrm: 1.00 | dt: 804ms | tok/sec: 40,761 | mfu: 0.1% | epoch: 1 | remaining: 257s    
step 00061 (14.2%) | loss: 5.466147 | lrm: 1.00 | dt: 801ms | tok/sec: 40,898 | mfu: 0.1% | epoch: 1 | remaining: 257s    
step 00062 (14.4%) | loss: 5.456525 | lrm: 1.00 | dt: 811ms | tok/sec: 40,419 | mfu: 0.1% | epoch: 1 | remaining: 256s    
step 00063 (14.7%) | loss: 5.450705 | lrm: 1.00 | dt: 946ms | tok/sec: 34,630 | mfu: 0.1% | epoch: 1 | remaining: 255s    
step 00064 (15.0%) | loss: 5.438349 | lrm: 1.00 | dt: 1038ms | tok/sec: 31,568 | mfu: 0.1% | epoch: 1 | remaining: 254s    
step 00065 (15.4%) | loss: 5.440438 | lrm: 1.00 | dt: 953ms | tok/sec: 34,390 | mfu: 0.1% | epoch: 1 | remaining: 253s    
step 00066 (15.7%) | loss: 5.429652 | lrm: 1.00 | dt: 809ms | tok/sec: 40,502 | mfu: 0.1% | epoch: 1 | remaining: 252s    
step 00067 (16.0%) | loss: 5.426916 | lrm: 1.00 | dt: 950ms | tok/sec: 34,488 | mfu: 0.1% | epoch: 1 | remaining: 251s    
step 00068 (16.3%) | loss: 5.409584 | lrm: 1.00 | dt: 810ms | tok/sec: 40,471 | mfu: 0.1% | epoch: 1 | remaining: 250s    
step 00069 (16.5%) | loss: 5.402536 | lrm: 1.00 | dt: 945ms | tok/sec: 34,668 | mfu: 0.1% | epoch: 1 | remaining: 249s    
step 00070 (16.9%) | loss: 5.394377 | lrm: 1.00 | dt: 898ms | tok/sec: 36,486 | mfu: 0.1% | epoch: 1 | remaining: 249s    
step 00071 (17.2%) | loss: 5.377562 | lrm: 1.00 | dt: 807ms | tok/sec: 40,613 | mfu: 0.1% | epoch: 1 | remaining: 248s    
step 00072 (17.4%) | loss: 5.371201 | lrm: 1.00 | dt: 849ms | tok/sec: 38,593 | mfu: 0.1% | epoch: 1 | remaining: 247s    
step 00073 (17.7%) | loss: 5.356955 | lrm: 1.00 | dt: 917ms | tok/sec: 35,722 | mfu: 0.1% | epoch: 1 | remaining: 246s    
step 00074 (18.0%) | loss: 5.345012 | lrm: 1.00 | dt: 805ms | tok/sec: 40,707 | mfu: 0.1% | epoch: 1 | remaining: 245s    
step 00075 (18.3%) | loss: 5.335431 | lrm: 1.00 | dt: 867ms | tok/sec: 37,783 | mfu: 0.1% | epoch: 1 | remaining: 244s    
step 00076 (18.6%) | loss: 5.338289 | lrm: 1.00 | dt: 919ms | tok/sec: 35,656 | mfu: 0.1% | epoch: 1 | remaining: 243s    
step 00077 (18.9%) | loss: 5.322942 | lrm: 1.00 | dt: 802ms | tok/sec: 40,836 | mfu: 0.1% | epoch: 1 | remaining: 243s    
step 00078 (19.2%) | loss: 5.309595 | lrm: 1.00 | dt: 845ms | tok/sec: 38,768 | mfu: 0.1% | epoch: 1 | remaining: 242s    
step 00079 (19.4%) | loss: 5.293946 | lrm: 1.00 | dt: 878ms | tok/sec: 37,321 | mfu: 0.1% | epoch: 1 | remaining: 241s    
step 00080 (19.7%) | loss: 5.296962 | lrm: 1.00 | dt: 867ms | tok/sec: 37,780 | mfu: 0.1% | epoch: 1 | remaining: 240s    
step 00081 (20.0%) | loss: 5.290317 | lrm: 1.00 | dt: 922ms | tok/sec: 35,552 | mfu: 0.1% | epoch: 1 | remaining: 239s    
step 00082 (20.3%) | loss: 5.278981 | lrm: 1.00 | dt: 939ms | tok/sec: 34,912 | mfu: 0.1% | epoch: 1 | remaining: 238s    
step 00083 (20.6%) | loss: 5.277200 | lrm: 1.00 | dt: 812ms | tok/sec: 40,374 | mfu: 0.1% | epoch: 1 | remaining: 237s    
step 00084 (20.9%) | loss: 5.265327 | lrm: 1.00 | dt: 808ms | tok/sec: 40,555 | mfu: 0.1% | epoch: 1 | remaining: 236s    
step 00085 (21.2%) | loss: 5.264165 | lrm: 1.00 | dt: 924ms | tok/sec: 35,471 | mfu: 0.1% | epoch: 1 | remaining: 236s    
step 00086 (21.5%) | loss: 5.252071 | lrm: 1.00 | dt: 804ms | tok/sec: 40,768 | mfu: 0.1% | epoch: 1 | remaining: 235s    
step 00087 (21.8%) | loss: 5.255774 | lrm: 1.00 | dt: 806ms | tok/sec: 40,663 | mfu: 0.1% | epoch: 1 | remaining: 234s    
step 00088 (22.0%) | loss: 5.245230 | lrm: 1.00 | dt: 812ms | tok/sec: 40,352 | mfu: 0.1% | epoch: 1 | remaining: 233s    
step 00089 (22.3%) | loss: 5.244527 | lrm: 1.00 | dt: 943ms | tok/sec: 34,761 | mfu: 0.1% | epoch: 1 | remaining: 232s    
step 00090 (22.6%) | loss: 5.234281 | lrm: 1.00 | dt: 913ms | tok/sec: 35,894 | mfu: 0.1% | epoch: 1 | remaining: 231s    
step 00091 (22.9%) | loss: 5.223759 | lrm: 1.00 | dt: 803ms | tok/sec: 40,810 | mfu: 0.1% | epoch: 1 | remaining: 230s    
step 00092 (23.2%) | loss: 5.222309 | lrm: 1.00 | dt: 824ms | tok/sec: 39,785 | mfu: 0.1% | epoch: 1 | remaining: 230s    
step 00093 (23.5%) | loss: 5.217739 | lrm: 1.00 | dt: 927ms | tok/sec: 35,351 | mfu: 0.1% | epoch: 1 | remaining: 229s    
step 00094 (23.8%) | loss: 5.199975 | lrm: 1.00 | dt: 801ms | tok/sec: 40,928 | mfu: 0.1% | epoch: 1 | remaining: 228s    
step 00095 (24.0%) | loss: 5.191933 | lrm: 1.00 | dt: 818ms | tok/sec: 40,081 | mfu: 0.1% | epoch: 1 | remaining: 227s    
step 00096 (24.3%) | loss: 5.190285 | lrm: 1.00 | dt: 917ms | tok/sec: 35,747 | mfu: 0.1% | epoch: 1 | remaining: 226s    
step 00097 (24.6%) | loss: 5.171619 | lrm: 1.00 | dt: 808ms | tok/sec: 40,558 | mfu: 0.1% | epoch: 1 | remaining: 225s    
step 00098 (24.9%) | loss: 5.173798 | lrm: 1.00 | dt: 923ms | tok/sec: 35,491 | mfu: 0.1% | epoch: 1 | remaining: 224s    
step 00099 (25.2%) | loss: 5.162512 | lrm: 1.00 | dt: 802ms | tok/sec: 40,871 | mfu: 0.1% | epoch: 1 | remaining: 224s    
step 00100 (25.4%) | loss: 5.146006 | lrm: 1.00 | dt: 816ms | tok/sec: 40,177 | mfu: 0.1% | epoch: 1 | remaining: 223s    
step 00101 (25.7%) | loss: 5.135756 | lrm: 1.00 | dt: 801ms | tok/sec: 40,889 | mfu: 0.1% | epoch: 1 | remaining: 222s    
step 00102 (26.0%) | loss: 5.120732 | lrm: 1.00 | dt: 811ms | tok/sec: 40,407 | mfu: 0.1% | epoch: 1 | remaining: 221s    
step 00103 (26.3%) | loss: 5.106185 | lrm: 1.00 | dt: 803ms | tok/sec: 40,784 | mfu: 0.1% | epoch: 1 | remaining: 220s    
step 00104 (26.5%) | loss: 5.102900 | lrm: 1.00 | dt: 817ms | tok/sec: 40,102 | mfu: 0.1% | epoch: 1 | remaining: 220s    
step 00105 (26.8%) | loss: 5.099013 | lrm: 1.00 | dt: 896ms | tok/sec: 36,588 | mfu: 0.1% | epoch: 1 | remaining: 219s    
step 00106 (27.1%) | loss: 5.094417 | lrm: 1.00 | dt: 802ms | tok/sec: 40,871 | mfu: 0.1% | epoch: 1 | remaining: 218s    
step 00107 (27.4%) | loss: 5.083365 | lrm: 1.00 | dt: 818ms | tok/sec: 40,052 | mfu: 0.1% | epoch: 1 | remaining: 217s    
step 00108 (27.6%) | loss: 5.075218 | lrm: 1.00 | dt: 926ms | tok/sec: 35,392 | mfu: 0.1% | epoch: 1 | remaining: 216s    
step 00109 (27.9%) | loss: 5.080013 | lrm: 1.00 | dt: 800ms | tok/sec: 40,949 | mfu: 0.1% | epoch: 1 | remaining: 215s    
step 00110 (28.2%) | loss: 5.083874 | lrm: 1.00 | dt: 807ms | tok/sec: 40,603 | mfu: 0.1% | epoch: 1 | remaining: 215s    
step 00111 (28.5%) | loss: 5.075416 | lrm: 1.00 | dt: 802ms | tok/sec: 40,862 | mfu: 0.1% | epoch: 1 | remaining: 214s    
step 00112 (28.7%) | loss: 5.073554 | lrm: 1.00 | dt: 932ms | tok/sec: 35,155 | mfu: 0.1% | epoch: 1 | remaining: 213s    
step 00113 (29.1%) | loss: 5.077719 | lrm: 1.00 | dt: 803ms | tok/sec: 40,831 | mfu: 0.1% | epoch: 1 | remaining: 212s    
step 00114 (29.3%) | loss: 5.069592 | lrm: 1.00 | dt: 801ms | tok/sec: 40,891 | mfu: 0.1% | epoch: 1 | remaining: 211s    
step 00115 (29.6%) | loss: 5.059577 | lrm: 1.00 | dt: 825ms | tok/sec: 39,699 | mfu: 0.1% | epoch: 1 | remaining: 210s    
step 00116 (29.9%) | loss: 5.044385 | lrm: 1.00 | dt: 837ms | tok/sec: 39,146 | mfu: 0.1% | epoch: 1 | remaining: 210s    
step 00117 (30.1%) | loss: 5.040762 | lrm: 1.00 | dt: 929ms | tok/sec: 35,258 | mfu: 0.1% | epoch: 1 | remaining: 209s    
step 00118 (30.5%) | loss: 5.030483 | lrm: 1.00 | dt: 808ms | tok/sec: 40,577 | mfu: 0.1% | epoch: 1 | remaining: 208s    
step 00119 (30.7%) | loss: 5.029543 | lrm: 1.00 | dt: 824ms | tok/sec: 39,766 | mfu: 0.1% | epoch: 1 | remaining: 207s    
step 00120 (31.0%) | loss: 5.021597 | lrm: 1.00 | dt: 933ms | tok/sec: 35,139 | mfu: 0.1% | epoch: 1 | remaining: 206s    
step 00121 (31.3%) | loss: 5.015735 | lrm: 1.00 | dt: 801ms | tok/sec: 40,930 | mfu: 0.1% | epoch: 1 | remaining: 205s    
step 00122 (31.6%) | loss: 5.010739 | lrm: 1.00 | dt: 800ms | tok/sec: 40,958 | mfu: 0.1% | epoch: 1 | remaining: 204s    
step 00123 (31.8%) | loss: 5.007384 | lrm: 1.00 | dt: 808ms | tok/sec: 40,558 | mfu: 0.1% | epoch: 1 | remaining: 204s    
step 00124 (32.1%) | loss: 4.998343 | lrm: 1.00 | dt: 803ms | tok/sec: 40,786 | mfu: 0.1% | epoch: 1 | remaining: 203s    
step 00125 (32.4%) | loss: 4.992626 | lrm: 1.00 | dt: 804ms | tok/sec: 40,775 | mfu: 0.1% | epoch: 1 | remaining: 202s    
step 00126 (32.7%) | loss: 4.985561 | lrm: 1.00 | dt: 942ms | tok/sec: 34,788 | mfu: 0.1% | epoch: 1 | remaining: 201s    
step 00127 (33.0%) | loss: 4.984529 | lrm: 1.00 | dt: 802ms | tok/sec: 40,846 | mfu: 0.1% | epoch: 1 | remaining: 200s    
step 00128 (33.2%) | loss: 4.975310 | lrm: 1.00 | dt: 803ms | tok/sec: 40,794 | mfu: 0.1% | epoch: 1 | remaining: 199s    
step 00129 (33.5%) | loss: 4.965715 | lrm: 1.00 | dt: 804ms | tok/sec: 40,768 | mfu: 0.1% | epoch: 1 | remaining: 199s    
step 00130 (33.8%) | loss: 4.966064 | lrm: 1.00 | dt: 804ms | tok/sec: 40,735 | mfu: 0.1% | epoch: 1 | remaining: 198s    
step 00131 (34.0%) | loss: 4.953458 | lrm: 1.00 | dt: 821ms | tok/sec: 39,893 | mfu: 0.1% | epoch: 1 | remaining: 197s    
step 00132 (34.3%) | loss: 4.941724 | lrm: 1.00 | dt: 804ms | tok/sec: 40,775 | mfu: 0.1% | epoch: 1 | remaining: 196s    
step 00133 (34.6%) | loss: 4.933695 | lrm: 1.00 | dt: 805ms | tok/sec: 40,696 | mfu: 0.1% | epoch: 1 | remaining: 195s    
step 00134 (34.8%) | loss: 4.940962 | lrm: 1.00 | dt: 808ms | tok/sec: 40,530 | mfu: 0.1% | epoch: 1 | remaining: 195s    
step 00135 (35.1%) | loss: 4.944327 | lrm: 1.00 | dt: 838ms | tok/sec: 39,082 | mfu: 0.1% | epoch: 1 | remaining: 194s    
step 00136 (35.4%) | loss: 4.949684 | lrm: 1.00 | dt: 847ms | tok/sec: 38,673 | mfu: 0.1% | epoch: 1 | remaining: 193s    
step 00137 (35.7%) | loss: 4.944130 | lrm: 1.00 | dt: 934ms | tok/sec: 35,096 | mfu: 0.1% | epoch: 1 | remaining: 192s    
step 00138 (36.0%) | loss: 4.930411 | lrm: 1.00 | dt: 805ms | tok/sec: 40,728 | mfu: 0.1% | epoch: 1 | remaining: 191s    
step 00139 (36.3%) | loss: 4.913492 | lrm: 1.00 | dt: 805ms | tok/sec: 40,698 | mfu: 0.1% | epoch: 1 | remaining: 190s    
step 00140 (36.5%) | loss: 4.900154 | lrm: 1.00 | dt: 804ms | tok/sec: 40,742 | mfu: 0.1% | epoch: 1 | remaining: 190s    
step 00141 (36.8%) | loss: 4.896795 | lrm: 1.00 | dt: 927ms | tok/sec: 35,362 | mfu: 0.1% | epoch: 1 | remaining: 189s    
step 00142 (37.1%) | loss: 4.899955 | lrm: 1.00 | dt: 813ms | tok/sec: 40,292 | mfu: 0.1% | epoch: 1 | remaining: 188s    
step 00143 (37.4%) | loss: 4.896367 | lrm: 1.00 | dt: 960ms | tok/sec: 34,122 | mfu: 0.1% | epoch: 1 | remaining: 187s    
step 00144 (37.7%) | loss: 4.895660 | lrm: 1.00 | dt: 945ms | tok/sec: 34,692 | mfu: 0.1% | epoch: 1 | remaining: 186s    
step 00145 (38.0%) | loss: 4.893840 | lrm: 1.00 | dt: 860ms | tok/sec: 38,080 | mfu: 0.1% | epoch: 1 | remaining: 185s    
step 00146 (38.3%) | loss: 4.897887 | lrm: 1.00 | dt: 900ms | tok/sec: 36,425 | mfu: 0.1% | epoch: 1 | remaining: 184s    
step 00147 (38.6%) | loss: 4.894634 | lrm: 1.00 | dt: 806ms | tok/sec: 40,635 | mfu: 0.1% | epoch: 1 | remaining: 183s    
step 00148 (38.9%) | loss: 4.884477 | lrm: 1.00 | dt: 819ms | tok/sec: 40,015 | mfu: 0.1% | epoch: 1 | remaining: 183s    
step 00149 (39.1%) | loss: 4.882238 | lrm: 1.00 | dt: 991ms | tok/sec: 33,051 | mfu: 0.1% | epoch: 1 | remaining: 182s    
step 00150 (39.5%) | loss: 4.872769 | lrm: 1.00 | dt: 804ms | tok/sec: 40,776 | mfu: 0.1% | epoch: 1 | remaining: 181s    
