Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 2, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 2,097,152
  lm_head                 : 2,097,152
  transformer_matrices    : 1,310,784
  scalars                 : 4
  total                   : 7,602,244
Estimated FLOPs per token: 3.303053e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010973 | lrm: 1.00 | dt: 2547ms | tok/sec: 12,865 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.931500 | lrm: 1.00 | dt: 858ms | tok/sec: 38,211 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.678578 | lrm: 1.00 | dt: 846ms | tok/sec: 38,710 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.347217 | lrm: 1.00 | dt: 846ms | tok/sec: 38,719 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.046802 | lrm: 1.00 | dt: 827ms | tok/sec: 39,626 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.779203 | lrm: 1.00 | dt: 901ms | tok/sec: 36,351 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.558963 | lrm: 1.00 | dt: 832ms | tok/sec: 39,378 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.374816 | lrm: 1.00 | dt: 894ms | tok/sec: 36,632 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.209807 | lrm: 1.00 | dt: 812ms | tok/sec: 40,345 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.069072 | lrm: 1.00 | dt: 901ms | tok/sec: 36,370 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.945954 | lrm: 1.00 | dt: 819ms | tok/sec: 40,017 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.833901 | lrm: 1.00 | dt: 831ms | tok/sec: 39,417 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.739556 | lrm: 1.00 | dt: 800ms | tok/sec: 40,963 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 6.647848 | lrm: 1.00 | dt: 916ms | tok/sec: 35,766 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00014 (0.8%) | loss: 6.562908 | lrm: 1.00 | dt: 803ms | tok/sec: 40,793 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 6.496188 | lrm: 1.00 | dt: 803ms | tok/sec: 40,812 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00016 (1.4%) | loss: 6.426395 | lrm: 1.00 | dt: 803ms | tok/sec: 40,788 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00017 (1.7%) | loss: 6.366783 | lrm: 1.00 | dt: 926ms | tok/sec: 35,403 | mfu: 0.1% | epoch: 1 | remaining: 294s    
step 00081 (20.0%) | loss: 5.272382 | lrm: 1.00 | dt: 910ms | tok/sec: 36,004 | mfu: 0.1% | epoch: 1 | remaining: 239s    
step 00082 (20.3%) | loss: 5.261143 | lrm: 1.00 | dt: 799ms | tok/sec: 41,022 | mfu: 0.1% | epoch: 1 | remaining: 238s    
step 00083 (20.6%) | loss: 5.259525 | lrm: 1.00 | dt: 805ms | tok/sec: 40,697 | mfu: 0.1% | epoch: 1 | remaining: 238s    
step 00084 (20.8%) | loss: 5.247954 | lrm: 1.00 | dt: 874ms | tok/sec: 37,471 | mfu: 0.1% | epoch: 1 | remaining: 237s    
step 00085 (21.1%) | loss: 5.246815 | lrm: 1.00 | dt: 802ms | tok/sec: 40,878 | mfu: 0.1% | epoch: 1 | remaining: 236s    
step 00086 (21.4%) | loss: 5.234993 | lrm: 1.00 | dt: 812ms | tok/sec: 40,376 | mfu: 0.1% | epoch: 1 | remaining: 235s    
step 00087 (21.7%) | loss: 5.239232 | lrm: 1.00 | dt: 838ms | tok/sec: 39,082 | mfu: 0.1% | epoch: 1 | remaining: 234s    
step 00088 (21.9%) | loss: 5.228839 | lrm: 1.00 | dt: 919ms | tok/sec: 35,648 | mfu: 0.1% | epoch: 1 | remaining: 233s    
step 00089 (22.2%) | loss: 5.228105 | lrm: 1.00 | dt: 801ms | tok/sec: 40,928 | mfu: 0.1% | epoch: 1 | remaining: 232s    
step 00090 (22.5%) | loss: 5.217805 | lrm: 1.00 | dt: 801ms | tok/sec: 40,914 | mfu: 0.1% | epoch: 1 | remaining: 232s    
step 00091 (22.8%) | loss: 5.207264 | lrm: 1.00 | dt: 895ms | tok/sec: 36,620 | mfu: 0.1% | epoch: 1 | remaining: 231s    
step 00092 (23.1%) | loss: 5.206038 | lrm: 1.00 | dt: 800ms | tok/sec: 40,960 | mfu: 0.1% | epoch: 1 | remaining: 230s    
step 00093 (23.3%) | loss: 5.201327 | lrm: 1.00 | dt: 799ms | tok/sec: 40,997 | mfu: 0.1% | epoch: 1 | remaining: 229s    
step 00094 (23.6%) | loss: 5.183219 | lrm: 1.00 | dt: 811ms | tok/sec: 40,427 | mfu: 0.1% | epoch: 1 | remaining: 228s    
step 00095 (23.9%) | loss: 5.175900 | lrm: 1.00 | dt: 940ms | tok/sec: 34,869 | mfu: 0.1% | epoch: 1 | remaining: 227s    
step 00096 (24.2%) | loss: 5.174335 | lrm: 1.00 | dt: 943ms | tok/sec: 34,760 | mfu: 0.1% | epoch: 1 | remaining: 226s    
step 00097 (24.5%) | loss: 5.156104 | lrm: 1.00 | dt: 804ms | tok/sec: 40,779 | mfu: 0.1% | epoch: 1 | remaining: 226s    
step 00098 (24.8%) | loss: 5.158563 | lrm: 1.00 | dt: 814ms | tok/sec: 40,270 | mfu: 0.1% | epoch: 1 | remaining: 225s    
step 00099 (25.0%) | loss: 5.147471 | lrm: 1.00 | dt: 897ms | tok/sec: 36,536 | mfu: 0.1% | epoch: 1 | remaining: 224s    
step 00100 (25.3%) | loss: 5.131304 | lrm: 1.00 | dt: 800ms | tok/sec: 40,981 | mfu: 0.1% | epoch: 1 | remaining: 223s    
step 00101 (25.6%) | loss: 5.121010 | lrm: 1.00 | dt: 801ms | tok/sec: 40,884 | mfu: 0.1% | epoch: 1 | remaining: 222s    
step 00102 (25.9%) | loss: 5.105818 | lrm: 1.00 | dt: 804ms | tok/sec: 40,777 | mfu: 0.1% | epoch: 1 | remaining: 222s    
step 00103 (26.1%) | loss: 5.091634 | lrm: 1.00 | dt: 801ms | tok/sec: 40,902 | mfu: 0.1% | epoch: 1 | remaining: 221s    
step 00104 (26.4%) | loss: 5.088403 | lrm: 1.00 | dt: 800ms | tok/sec: 40,976 | mfu: 0.1% | epoch: 1 | remaining: 220s    
step 00105 (26.7%) | loss: 5.085045 | lrm: 1.00 | dt: 799ms | tok/sec: 41,008 | mfu: 0.1% | epoch: 1 | remaining: 219s    
step 00106 (26.9%) | loss: 5.080797 | lrm: 1.00 | dt: 799ms | tok/sec: 41,030 | mfu: 0.1% | epoch: 1 | remaining: 218s    
step 00107 (27.2%) | loss: 5.070194 | lrm: 1.00 | dt: 799ms | tok/sec: 41,009 | mfu: 0.1% | epoch: 1 | remaining: 218s    
step 00108 (27.5%) | loss: 5.061911 | lrm: 1.00 | dt: 934ms | tok/sec: 35,099 | mfu: 0.1% | epoch: 1 | remaining: 217s    
step 00109 (27.8%) | loss: 5.067025 | lrm: 1.00 | dt: 804ms | tok/sec: 40,737 | mfu: 0.1% | epoch: 1 | remaining: 216s    
step 00110 (28.1%) | loss: 5.071375 | lrm: 1.00 | dt: 799ms | tok/sec: 40,995 | mfu: 0.1% | epoch: 1 | remaining: 215s    
step 00111 (28.3%) | loss: 5.063263 | lrm: 1.00 | dt: 807ms | tok/sec: 40,612 | mfu: 0.1% | epoch: 1 | remaining: 214s    
step 00112 (28.6%) | loss: 5.061753 | lrm: 1.00 | dt: 884ms | tok/sec: 37,081 | mfu: 0.1% | epoch: 1 | remaining: 213s    
step 00113 (28.9%) | loss: 5.065971 | lrm: 1.00 | dt: 926ms | tok/sec: 35,391 | mfu: 0.1% | epoch: 1 | remaining: 212s    
step 00114 (29.2%) | loss: 5.057867 | lrm: 1.00 | dt: 805ms | tok/sec: 40,719 | mfu: 0.1% | epoch: 1 | remaining: 212s    
step 00115 (29.5%) | loss: 5.048046 | lrm: 1.00 | dt: 835ms | tok/sec: 39,243 | mfu: 0.1% | epoch: 1 | remaining: 211s    
step 00116 (29.7%) | loss: 5.032883 | lrm: 1.00 | dt: 944ms | tok/sec: 34,703 | mfu: 0.1% | epoch: 1 | remaining: 210s    
step 00117 (30.1%) | loss: 5.029684 | lrm: 1.00 | dt: 908ms | tok/sec: 36,087 | mfu: 0.1% | epoch: 1 | remaining: 209s    
step 00118 (30.4%) | loss: 5.019391 | lrm: 1.00 | dt: 805ms | tok/sec: 40,716 | mfu: 0.1% | epoch: 1 | remaining: 208s    
step 00119 (30.6%) | loss: 5.018346 | lrm: 1.00 | dt: 805ms | tok/sec: 40,688 | mfu: 0.1% | epoch: 1 | remaining: 207s    
step 00120 (30.9%) | loss: 5.010856 | lrm: 1.00 | dt: 802ms | tok/sec: 40,859 | mfu: 0.1% | epoch: 1 | remaining: 207s    
step 00121 (31.2%) | loss: 5.005282 | lrm: 1.00 | dt: 808ms | tok/sec: 40,561 | mfu: 0.1% | epoch: 1 | remaining: 206s    
step 00122 (31.4%) | loss: 5.000294 | lrm: 1.00 | dt: 799ms | tok/sec: 41,005 | mfu: 0.1% | epoch: 1 | remaining: 205s    
step 00123 (31.7%) | loss: 4.996662 | lrm: 1.00 | dt: 800ms | tok/sec: 40,980 | mfu: 0.1% | epoch: 1 | remaining: 204s    
step 00124 (32.0%) | loss: 4.987640 | lrm: 1.00 | dt: 799ms | tok/sec: 41,015 | mfu: 0.1% | epoch: 1 | remaining: 203s    
step 00125 (32.2%) | loss: 4.982392 | lrm: 1.00 | dt: 802ms | tok/sec: 40,871 | mfu: 0.1% | epoch: 1 | remaining: 203s    
step 00126 (32.5%) | loss: 4.975838 | lrm: 1.00 | dt: 804ms | tok/sec: 40,734 | mfu: 0.1% | epoch: 1 | remaining: 202s    
step 00127 (32.8%) | loss: 4.974489 | lrm: 1.00 | dt: 800ms | tok/sec: 40,983 | mfu: 0.1% | epoch: 1 | remaining: 201s    
step 00128 (33.0%) | loss: 4.965281 | lrm: 1.00 | dt: 800ms | tok/sec: 40,980 | mfu: 0.1% | epoch: 1 | remaining: 200s    
step 00129 (33.3%) | loss: 4.955540 | lrm: 1.00 | dt: 801ms | tok/sec: 40,903 | mfu: 0.1% | epoch: 1 | remaining: 199s    
step 00130 (33.6%) | loss: 4.956137 | lrm: 1.00 | dt: 801ms | tok/sec: 40,909 | mfu: 0.1% | epoch: 1 | remaining: 198s    
step 00131 (33.8%) | loss: 4.943622 | lrm: 1.00 | dt: 801ms | tok/sec: 40,929 | mfu: 0.1% | epoch: 1 | remaining: 198s    
step 00132 (34.1%) | loss: 4.931714 | lrm: 1.00 | dt: 802ms | tok/sec: 40,873 | mfu: 0.1% | epoch: 1 | remaining: 197s    
step 00133 (34.4%) | loss: 4.923676 | lrm: 1.00 | dt: 804ms | tok/sec: 40,780 | mfu: 0.1% | epoch: 1 | remaining: 196s    
step 00134 (34.6%) | loss: 4.932039 | lrm: 1.00 | dt: 810ms | tok/sec: 40,476 | mfu: 0.1% | epoch: 1 | remaining: 195s    
step 00135 (34.9%) | loss: 4.935269 | lrm: 1.00 | dt: 811ms | tok/sec: 40,391 | mfu: 0.1% | epoch: 1 | remaining: 194s    
step 00136 (35.2%) | loss: 4.940199 | lrm: 1.00 | dt: 802ms | tok/sec: 40,833 | mfu: 0.1% | epoch: 1 | remaining: 194s    
step 00137 (35.4%) | loss: 4.934085 | lrm: 1.00 | dt: 800ms | tok/sec: 40,969 | mfu: 0.1% | epoch: 1 | remaining: 193s    
step 00138 (35.7%) | loss: 4.919949 | lrm: 1.00 | dt: 802ms | tok/sec: 40,833 | mfu: 0.1% | epoch: 1 | remaining: 192s    
step 00139 (36.0%) | loss: 4.902742 | lrm: 1.00 | dt: 823ms | tok/sec: 39,792 | mfu: 0.1% | epoch: 1 | remaining: 191s    
step 00140 (36.3%) | loss: 4.889696 | lrm: 1.00 | dt: 966ms | tok/sec: 33,915 | mfu: 0.1% | epoch: 1 | remaining: 190s    
step 00141 (36.6%) | loss: 4.886517 | lrm: 1.00 | dt: 842ms | tok/sec: 38,932 | mfu: 0.1% | epoch: 1 | remaining: 189s    
step 00142 (36.9%) | loss: 4.890228 | lrm: 1.00 | dt: 912ms | tok/sec: 35,917 | mfu: 0.1% | epoch: 1 | remaining: 189s    
step 00143 (37.2%) | loss: 4.886922 | lrm: 1.00 | dt: 804ms | tok/sec: 40,777 | mfu: 0.1% | epoch: 1 | remaining: 188s    
step 00144 (37.4%) | loss: 4.886126 | lrm: 1.00 | dt: 803ms | tok/sec: 40,792 | mfu: 0.1% | epoch: 1 | remaining: 187s    
step 00145 (37.7%) | loss: 4.884826 | lrm: 1.00 | dt: 809ms | tok/sec: 40,496 | mfu: 0.1% | epoch: 1 | remaining: 186s    
step 00146 (38.0%) | loss: 4.888822 | lrm: 1.00 | dt: 834ms | tok/sec: 39,291 | mfu: 0.1% | epoch: 1 | remaining: 185s    
step 00147 (38.2%) | loss: 4.885169 | lrm: 1.00 | dt: 915ms | tok/sec: 35,809 | mfu: 0.1% | epoch: 1 | remaining: 184s    
step 00148 (38.5%) | loss: 4.875233 | lrm: 1.00 | dt: 903ms | tok/sec: 36,295 | mfu: 0.1% | epoch: 1 | remaining: 183s    
step 00149 (38.8%) | loss: 4.872880 | lrm: 1.00 | dt: 822ms | tok/sec: 39,867 | mfu: 0.1% | epoch: 1 | remaining: 183s    
step 00150 (39.1%) | loss: 4.863172 | lrm: 1.00 | dt: 824ms | tok/sec: 39,765 | mfu: 0.1% | epoch: 1 | remaining: 182s    
step 00151 (39.4%) | loss: 4.855704 | lrm: 1.00 | dt: 973ms | tok/sec: 33,674 | mfu: 0.1% | epoch: 1 | remaining: 181s    
